LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
10000,Mitte,"20,845",194,115,"1,921",539,619,"8,419",100,908,931,204,96,31,"1,689",404,960,"4,273"
11001,Tiergarten Süd,"26,982",320,213,"2,536",712,905,"11,071",126,"1,065","1,977",180,113,27,"1,691",266,"1,225","5,965"
11002,Regierungsviertel,"54,648",275,142,"3,539",952,"2,100","21,252",79,"1,542","1,817",252,102,16,"3,587",944,"1,093","8,589"
11003,Alexanderplatz,"33,163",236,138,"2,780",808,669,"14,995",83,"1,056","1,296",260,89,28,"2,301",579,"1,398","5,954"
11004,Brunnenstraße Süd,"12,339",146,111,945,225,279,"5,738",111,552,"1,158",143,54,16,"1,592",587,311,"2,975"
12005,Moabit West,"13,757",150,78,"1,320",337,455,"4,367",83,596,800,257,111,33,"1,372",194,802,"3,016"
12006,Moabit Ost,"22,983",138,71,"1,712",446,498,"8,542",62,545,956,224,128,42,"1,380",209,"1,094","4,208"
13007,Osloer Straße,"15,924",148,73,"1,676",513,593,"6,774",117,846,708,146,68,26,"1,332",380,833,"3,841"
13008,Brunnenstraße Nord,"16,696",163,94,"1,945",564,531,"6,381",117,924,673,175,137,36,"1,882",681,"1,018","3,723"
14009,Parkviertel,"13,055",130,65,"1,382",341,500,"5,518",102,919,482,198,70,30,"1,139",135,545,"3,075"
14010,Wedding Zentrum,"13,780",178,108,"1,766",543,571,"4,630",76,857,479,173,60,28,"1,308",317,948,"3,402"
19900,"Bezirk (Mi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20000,Friedrichshain-Kreuzberg,"19,678",255,156,"1,650",539,429,"8,321",87,936,"1,321",177,125,37,"1,957",426,"2,067","4,047"
21001,Südliche  Friedrichstadt,"22,333",348,153,"1,807",575,620,"9,349",64,"1,370",975,222,212,69,"1,814",328,"1,684","4,192"
22002,Tempelhofer Vorstadt,"16,918",191,109,"1,307",387,401,"8,046",81,"1,068","1,629",184,81,23,"1,337",338,"1,040","3,046"
23003,Nördliche Luisenstadt,"26,479",339,218,"2,474",978,571,"12,305",92,"1,370","1,462",252,169,68,"2,014",315,"2,798","4,952"
23004,Südliche Luisenstadt,"25,825",496,349,"2,058",941,459,"8,569",103,"1,095","1,723",257,92,29,"1,859",334,"6,765","4,803"
24005,Karl-Marx-Allee Nord,"10,436",115,82,"1,031",217,299,"5,325",115,662,949,123,82,12,"1,276",155,331,"3,112"
24006,Karl-Marx-Allee Süd,"28,004",298,178,"2,649",740,504,"11,934",85,806,"1,336",112,70,23,"2,239",596,"2,363","5,395"
25007,Frankfurter Allee Nord,"12,902",77,42,"1,018",291,282,"5,190",109,359,"1,040",122,166,42,"2,433",455,477,"3,153"
25008,Frankfurter Allee Süd FK,"16,441",166,106,"1,413",443,285,"6,168",60,447,"1,114",153,126,33,"2,522",691,"2,207","4,215"
29900,"Bezirk (Fh-Kb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30000,Pankow,"9,282",74,48,772,179,289,"4,499",99,545,943,146,57,19,"1,165",352,267,"2,166"
31001,Buch,"11,141",112,53,"1,273",296,420,"4,777",71,509,527,77,89,36,"1,308",444,272,"2,338"
32002,Blankenfelde/Niederschönhausen,"5,533",45,21,443,80,220,"2,484",98,440,548,150,38,10,621,101,63,"1,127"
32003,Buchholz,"4,395",38,11,409,55,180,"1,985",55,316,333,191,11,5,371,38,65,960
33004,Karow,"3,789",25,25,366,56,163,"1,509",41,168,396,102,25,5,559,91,122,752
33005,Blankenburg/Heinersdorf/Märchenland,"9,155",13,6,701,120,309,"3,984",63,581,549,354,19,13,903,278,114,"1,414"
34006,Schönholz/Wilhelmsruh/Rosenthal,"5,889",32,16,524,119,195,"2,955",76,567,319,286,38,16,675,124,108,"1,210"
34007,Pankow Zentrum,"8,287",70,35,657,143,288,"4,191",75,415,"1,236",110,38,16,"1,037",318,127,"1,810"
34008,Pankow Süd,"6,272",62,31,546,118,256,"2,808",82,374,850,90,34,11,706,214,189,"1,443"
35009,Weißensee,"8,524",62,39,700,158,364,"4,248",119,591,837,145,65,21,"1,116",320,168,"2,239"
35010,Weißensee Ost,"9,031",64,26,842,223,383,"3,772",160,881,645,153,109,38,"1,411",179,313,"2,598"
36011,Prenzlauer Berg Nordwest,"13,476",142,120,"1,035",310,276,"6,654",97,486,"1,681",105,67,15,"1,371",445,"1,076","3,291"
36012,Prenzlauer Berg Nord,"10,538",58,18,758,171,230,"5,786",124,587,"1,228",98,66,15,"1,261",404,262,"2,409"
